name,address,website,phone_number,reviews_count,reviews_average
Channing Real Estate Inc.,"1776 Massachusetts Ave, Cambridge, MA 02140",channingrealestate.com,(617) 818-5040,11,3.9
Remmes & Co. Boston Real Estate,"20 Park Plaza Suite 400, Boston, MA 02116",remmesco.com,(617) 398-0015,100,5.0
Downtown Boston Realty,"151 Tremont St, Boston, MA 02111",downtownbostonrealty.com,(617) 921-4006,55,4.9
"Mike Urban, Boston Real Estate","1 Beacon St #15, Boston, MA 02108",listingsinboston.com,(617) 686-9299,74,5.0
Jacob Realty,"279 Newbury St #2, Boston, MA 02116",jacobrealty.com,(617) 236-4048,334,4.8
The Bulfinch Team of Douglas Elliman Real Estate,"255 Newbury St # 1, Boston, MA 02116",bulfinchbostonrealty.com,(617) 247-3177,58,4.8
Cabot and Company Real Estate,"213 Newbury St, Boston, MA 02116",cabotandcompany.com,(617) 262-6200,129,4.9
CENTURY 21 Revolution,"625 Massachusetts Ave 2nd floor, Cambridge, MA 02139",c21revolution.com,(617) 982-7175,49,4.8
Boston Proper Real Estate,"49 Gloucester St, Boston, MA 02115",bostonproperrealestate.com,(617) 262-4500,37,4.2
The Agency Boston,"435A Columbus Ave, Boston, MA 02116",ericrollo.com,(617) 356-7605,37,4.9
Ford Realty Inc,"137 Charles St, Boston, MA 02114",bostonreb.com,(617) 720-5454,63,4.9
Real Estate Randy,"126 Newbury St 2nd Floor, Boston, MA 02116",compass.com,(781) 367-1598,71,5.0
"Darnell Billings, Realtor, Keller Williams Realty Boston-Metro","607 Boylston St 5th floor, Boston, MA 02116",darnellrealty.kw.com,(781) 400-6767,31,5.0
Steven Cohen Team of Keller Williams Realty,"1180 Washington St Unit #103, Boston, MA 02118",stevencohenteam.com,(617) 861-3636,193,5.0
Carlisle Group Boston Real Estate,"126 Newbury St 5th floor, Boston, MA 02116",carlislegrouprealestate.com,(617) 699-0033,51,5.0
Ellen + Janis @ Denman Drapkin Group | Compass,"126 Newbury St, Boston, MA 02116",ellenandjanisrealestate.com,(617) 971-8940,68,4.9
Nexus Real Estate Group,"399 Boylston St Suite 200, Boston, MA 02116",nexusreal.estate,(617) 642-0874,90,5.0
Advantage Real Estate,"1066 Commonwealth Ave, Boston, MA 02215",are-bos.com,(617) 600-6780,40,4.6
Full Circle Realty,"607 Boylston St #203, Boston, MA 02116",thefcrgroup.com,(617) 721-0947,78,4.9
Donnelly + Co. Boston Real Estate,"129 Newbury St Suite 202, Boston, MA 02116",donnellyandco.com,(617) 982-0160,19,4.6
